GeneSym	HP1504101T2D_wholeislet	HP1506401_wholeislet	HP1504901_wholeislet	HP1508501T2D_wholeislet	HP1507101_wholeislet	HP1526901T2D_wholeislet	HP1525301T2D_wholeislet
SGIP1	360	616	204	567	171	270	268
AZIN2	388	344	434	405	729	410	259
CLIC4	3679	2753	4151	5125	3241	3569	2852
AGBL4	118	155	209	137	289	85	101
NECAP2	1522	1737	1562	2754	1870	1826	1572
SLC45A1	335	376	288	343	372	266	186
TGFBR3	4046	7671	4220	3846	3689	3564	3049
DBT	1623	1586	1748	2006	2213	1475	1402
RFWD2	1922	2139	2283	3105	2458	1959	1777
C1orf21	664	438	703	972	1211	445	861
PRUNE	5026	4488	5132	4104	6228	3634	3450
LIN9	129	199	193	217	194	131	120
PRKCZ	688	680	793	1026	995	723	527
PRDM16	315	889	401	1012	380	443	635
C1orf159	156	196	130	342	228	229	196
CAMTA1	1415	1361	1380	1882	1545	1134	1169
ICMT	9054	8451	9510	8523	9287	5962	6060
LOC391003	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0
LOC645382	0	0	0	0	0	0	0
EPHB2	570	613	706	2194	799	1088	1201
PINK1	1742	1486	1718	1902	2103	1396	1194
USP48	3093	3875	3381	4053	4168	3057	2871
PINK1-AS	307	374	397	440	410	370	317
EPB41	3466	2666	3881	4136	3987	2434	1426
KHDRBS1	7005	8074	10241	10425	9346	6641	6217
EYA3	2155	1447	2336	2999	3187	1666	1526
NUDC	3585	4866	4677	6447	5310	3526	3518
PUM1	6474	6232	7500	7414	7723	5095	5127
STMN1	5353	4796	4440	6006	7401	4056	4270
THRAP3	6023	6507	8080	8654	7652	5607	4647
SFPQ	7232	8760	9518	9962	7873	6945	6473
CSMD2	73	51	14	136	50	216	257
MACF1	17234	14678	17260	19094	17283	14014	14483
TRABD2B	36	33	18	75	26	64	193
PTPRF	12399	14335	16082	29832	19227	14942	12854
GPBP1L1	5964	7064	7164	8950	7965	5715	5483
RNF220	2950	3424	4266	4428	4245	2938	2360
TCEANC2	262	285	339	449	307	224	306
SCP2	8567	8320	9270	9969	11147	7549	9131
DAB1	318	99	69	212	82	120	139
RAB3B	14733	10556	17084	17453	21774	9706	10466
USP24	5193	4807	6255	6041	5616	4007	3349
FAF1	2032	2165	2708	3154	2928	1935	1804
FGGY	548	922	647	953	1051	642	699
NFIA	621	1184	811	1217	751	1112	866
USP1	2900	3302	4197	3434	3995	2714	2176
CACHD1	300	348	199	415	219	384	273
LEPR	2847	2883	5195	2050	2142	2498	1843
ITGB3BP	260	388	414	1009	585	596	322
NEGR1	1587	2141	1963	1544	1452	1811	1237
LRRC7	7	7	2	14	0	7	1
ST6GALNAC3	16	8	67	22	54	52	10
PIGK	3663	5241	4415	5536	5690	3608	4105
DDAH1	3029	3767	3856	4350	5087	3502	3639
CLCA4	2	2	2	2	0	0	2
LRRC8C	270	233	396	408	364	267	171
PKN2-AS1	0	6	8	2	6	4	4
FAM69A	396	625	549	501	511	352	345
GCLM	7343	2641	5529	4565	5982	4800	3203
LOC729970	99	125	176	284	224	119	149
NTNG1	287	103	88	279	56	82	117
PHTF1	1564	1378	1250	1674	1632	1198	1520
KCNA2	50	6	23	11	27	26	8
GNAI3	5023	5377	6626	7718	7048	5017	4510
RAP1A	2904	2687	3504	3657	3263	2737	2728
RHOC	2249	4501	1715	9278	2723	4701	5273
NOTCH2	1667	3566	1424	5418	1576	3698	4223
WDR3	1347	1715	1720	1908	1809	1189	1095
PDZK1	853	343	918	973	1684	668	1876
NBPF10	47	33	34	39	39	29	28
NBPF9	0	0	0	0	0	0	0
NBPF20	0	0	0	0	0	0	0
NBPF8	8	13	6	28	21	21	23
NBPF25P	0	0	0	0	0	0	0
OTUD7B	1415	1656	1971	1997	1393	1172	1127
TPM3	11189	10368	18566	14913	18504	11459	8942
GBAP1	84	121	134	133	97	136	85
SMG5	6218	6850	6841	9563	7559	5304	4719
FCGR2A	36	91	67	104	112	114	110
PBX1	4647	5644	5332	4388	6086	4238	4101
LOC440700	3	4	8	1	2	0	0
DNM3	772	609	530	1339	953	662	340
MROH9	0	0	0	2	0	0	4
TNFSF18	0	0	0	2	4	1	5
TNN	0	0	2	7	7	6	4
BRINP2	18	8	27	9	47	12	48
SOAT1	6001	5925	6926	7552	7271	4804	4700
ACBD6	1368	1319	1961	2229	2131	1405	1340
SMG7	5172	6008	6922	6687	6497	4179	3529
RGSL1	0	0	0	0	0	0	0
RASAL2	1602	1506	2066	1799	1767	1452	1695
PTGS2	292	114	97	1093	72	209	109
ZBTB41	4158	3887	4940	4290	5614	2778	3265
NEK7	3178	2887	3504	4067	3720	2429	2747
SRGAP2C	0	0	0	0	0	0	0
SRGAP2	1459	1261	1077	1329	1508	977	969
SRGAP2D	0	0	0	0	0	0	0
PPP1R12B	1346	1391	1463	1573	1331	1115	1181
SRGAP2B	0	0	0	0	0	0	0
HHAT	549	749	643	827	634	673	844
ESRRG	1205	1272	1253	1098	1419	785	673
BATF3	9	3	8	27	15	5	2
USH2A	189	189	306	124	161	112	122
EPRS	14517	15198	17427	16258	16762	10912	7740
RNU5F-1	0	0	0	0	0	0	0
DNAH14	374	417	478	540	473	424	355
TSNAX-DISC1	0	0	0	2	2	0	0
NUP133	3111	3049	3783	4029	4422	2483	2448
LINC00582	0	0	0	0	2	0	0
TRIM11	827	767	894	1207	1181	813	690
MTR	1977	2259	2777	3032	2732	2049	1823
LYST	3010	2600	3504	2865	3370	2409	2031
RGS7	1532	818	1527	1379	2049	855	1014
LOC100130331	16	14	18	43	5	25	8
SMYD3	502	1114	665	1186	739	675	502
ZNF496	435	544	702	595	801	465	384
KIF26B	142	206	138	668	467	403	328
OR14C36	0	0	0	0	0	0	0
LINC01128	3429	2778	3363	2196	1598	2956	950
CDK11B	625	576	667	918	667	403	453
NADK	2351	2095	1884	2975	2628	2248	1949
AURKAIP1	1681	2322	2083	3125	2721	1783	1750
FAM132A	16	6	6	11	19	6	4
TNFRSF14	1198	877	2143	877	2028	1013	755
SKI	3085	2878	3869	2846	3560	2571	2156
TTC34	0	2	0	0	2	1	1
DFFB	296	397	405	426	447	319	278
CCDC27	0	0	0	2	0	0	0
MEGF6	166	285	153	374	139	365	370
AJAP1	90	125	147	112	78	221	100
KCNAB2	1142	567	842	745	697	834	500
NPHP4	1099	708	1155	1549	1158	928	936
PLEKHG5	211	180	236	227	282	277	224
ACOT7	668	577	714	756	951	547	547
TNFRSF9	24	67	44	40	30	67	59
PER3	3598	3712	6977	4290	4527	3301	1699
RERE	5957	6271	6957	6809	6606	5076	4384
H6PD	1903	2718	1859	4576	2313	2799	2657
GPR157	8	21	4	36	17	24	31
CLSTN1	10273	9843	10817	14404	10553	9498	8570
CTNNBIP1	1795	1439	2424	1877	3236	1562	1351
KIF1B	6511	5330	6077	6533	6746	4109	4492
UBE4B	2983	2779	3612	4389	3938	2785	2328
EXOSC10	1800	2515	2897	3351	2847	1993	1818
MTOR	2739	3221	2994	4018	3188	2580	2007
CASZ1	891	1180	1246	1818	877	1036	802
C1orf127	6240	7433	4873	3626	6156	6316	3946
PEX14	766	919	958	1250	1076	744	674
MFN2	4602	5375	5684	6763	6079	3950	3730
AGTRAP	770	966	1046	1474	1424	1022	1032
VPS13D	4051	4127	4305	4905	4416	3281	2964
TNFRSF8	0	0	2	0	0	4	2
AADACL4	0	0	0	0	0	0	0
FHAD1	53	16	30	47	81	33	84
TMEM51-AS1	98	203	127	217	95	196	213
KAZN	205	444	494	632	125	405	248
DNAJC16	1459	1348	1771	1845	1711	1410	1215
FBXO42	1272	1246	1580	1578	1654	1186	998
SPEN	4757	3925	5807	5596	5264	3156	2941
MFAP2	75	73	64	147	146	287	129
NBPF1	1474	2151	1476	2478	2614	1333	803
PADI2	22	16	12	18	24	24	12
ESPNP	0	2	2	7	4	7	0
PADI1	3	4	19	15	6	6	22
ARHGEF10L	2266	2517	3869	4340	4571	3128	2891
ACTL8	0	0	0	0	0	2	0
IGSF21	188	402	265	481	243	225	28
CAPZB	7432	7074	9320	11963	10405	6975	7743
IFFO2	1002	1691	1025	2080	1267	1272	1188
PAX7	0	2	15	0	0	10	2
UBR4	12501	11195	12708	13035	12013	9026	7364
LINC01141	5	1	0	5	5	2	0
TMCO4	726	1195	1347	1568	1168	1240	922
EIF4G3	7914	7622	7314	7176	7607	5670	4145
ALPL	16	6	29	30	8	6	22
HP1BP3	8411	9696	10820	10445	10049	7983	6728
ECE1	9141	10725	11667	14459	11420	8001	6729
CDC42	8525	10124	11639	14075	11292	8680	8310
ZBTB40	2802	2220	2645	3041	2801	1944	1528
HSPG2	1451	1790	1826	4378	1278	3488	3481
LDLRAD2	11	17	24	46	14	37	40
LUZP1	1277	1104	1324	1875	1236	1092	1255
TCEA3	360	1175	1198	1027	426	288	637
E2F2	2	28	22	25	26	5	48
IFNLR1	539	447	390	469	361	352	316
NIPAL3	2505	2896	2635	3578	3295	2058	2142
NCMAP	1633	1464	1392	3358	1631	1751	1976
TMEM57	2432	2326	2874	3003	2724	2233	1744
RHCE	56	60	50	91	168	104	30
MAN1C1	3211	4299	3084	4411	4676	3153	2883
LIN28A	4	0	4	0	0	0	0
RPS6KA1	1113	1590	1296	2522	1385	1173	1093
SH3BGRL3	1842	2625	2227	7426	2987	2763	3531
WASF2	5204	5089	6762	8476	7252	5348	4422
TMEM222	1469	1592	1792	2231	2117	1397	1134
AHDC1	2825	2113	3462	3094	3900	1859	1725
PHACTR4	1900	2318	2758	3010	2253	1948	1896
TAF12	611	584	687	952	836	492	528
SNHG3	769	765	419	530	677	496	487
RCC1	607	868	629	1470	712	626	745
PTPRU	1653	3966	5933	3123	8118	4334	1360
SRSF4	2564	1774	2716	3533	2582	2063	1900
MATN1	6	6	13	1	6	1	0
MATN1-AS1	30	18	19	58	39	18	24
PTP4A2	6951	9003	8224	11797	9024	8311	8265
SYNC	21	12	11	23	59	21	41
ZBTB8A	531	540	694	785	681	546	500
RNF19B	2857	2225	3944	4349	4497	2528	2165
S100PBP	1102	772	1074	1270	1278	871	801
HDAC1	3884	4412	5292	5966	5245	4381	3964
KPNA6	5442	5955	6617	6911	7300	4787	4018
PHC2	7705	7884	10604	11237	11842	8158	6075
ZSCAN20	238	231	283	304	342	173	171
CSMD2-AS1	0	0	0	0	0	0	0
AGO3	582	530	545	765	608	369	278
ZMYM4	3344	3307	4248	4494	4366	3283	2709
AGO4	1412	980	1432	1542	1537	1008	1006
KIAA0319L	3747	4927	4284	5839	4834	3697	3588
TFAP2E	17	7	12	10	2	5	6
STK40	5282	3560	6165	6201	6465	4210	3319
GRIK3	60	36	14	16	96	76	36
YRDC	1452	1515	1859	1683	1683	1131	1184
SNIP1	1547	1366	1635	1730	1671	1319	1030
INPP5B	1055	678	1357	1237	1049	1031	662
RRAGC	2576	2337	3835	3453	3494	2224	1815
RLF	1340	1314	2201	2102	1701	1236	994
BMP8B	727	465	379	1133	719	488	330
BMP8A	418	255	540	685	602	554	435
SCMH1	2620	2557	3532	3186	3765	1934	1661
KCNQ4	29	182	26	130	17	70	40
NFYC-AS1	113	143	126	100	115	104	104
FOXJ3	4790	5359	6732	5044	5846	4138	3105
HIVEP3	755	879	1069	957	1215	685	621
RIMKLA	1505	1219	2182	1745	2183	1444	865
WDR65	16	15	22	30	21	26	32
LOC100129924	8	4	8	1	7	1	1
TIE1	48	4	294	138	90	99	28
SZT2	2589	2572	2506	3333	2693	2205	1805
ST3GAL3	1090	930	1499	1364	1665	1013	906
IPO13	2557	2419	2989	3057	3513	2284	1933
ERI3	1820	2179	2175	2470	2681	1885	1620
KDM4A-AS1	28	42	35	27	30	17	20
ERI3-IT1	10	11	12	15	9	7	16
TESK2	126	242	137	204	284	177	81
EIF2B3	1407	1579	1647	2311	1972	1354	1107
ZSWIM5	1429	1084	1203	1507	1578	1043	876
KIF2C	30	116	48	105	104	51	118
POMGNT1	5011	5278	5807	7558	7680	5138	5123
PIK3R3	2046	1418	2121	1564	2664	1306	1251
MAST2	1850	1591	1660	2706	2210	1573	1526
MKNK1	625	1097	723	1249	861	795	759
CMPK1	11572	15048	13682	15532	13688	12063	14148
CYP4Z2P	0	0	0	0	0	0	0
CYP4Z1	0	0	0	0	0	0	4
SPATA6	380	439	483	508	603	380	381
SKINTL	0	5	2	7	1	24	1
ELAVL4	1101	1113	1454	1128	1433	921	629
TTC39A	6190	4734	5714	10814	7837	5027	5243
OSBPL9	3302	4023	4109	5338	4214	3266	3128
NRD1	7418	8117	9295	11982	10367	7109	5978
EPS15	7412	5015	7158	6385	7158	4851	4407
ZYG11B	3260	2706	3324	2728	3436	2303	2001
ZCCHC11	2855	2520	3406	2940	2962	1939	1830
ZFYVE9	3747	3540	4217	3602	4933	2442	2504
CC2D1B	3352	3446	4659	4330	4480	3064	2170
ZYG11A	0	4	0	0	0	4	4
GLIS1	0	0	0	0	0	0	0
LRP8	1003	553	469	903	606	577	346
HSPB11	961	1037	1180	1302	1408	961	1029
NDC1	1237	1814	1821	1572	1498	1285	1199
CYB5RL	413	537	454	591	554	351	259
ACOT11	463	438	323	514	386	279	277
MROH7-TTC4	1	1	2	2	2	1	0
SSBP3	2496	2726	2730	3071	2868	2102	2083
PRKAA2	567	705	548	856	634	486	544
C1orf168	337	478	321	479	206	574	616
PPAP2B	551	648	1671	1087	648	637	779
C8B	13	0	43	145	20	43	59
DAB1-AS1	0	0	0	0	0	0	0
OMA1	907	1504	1244	1870	1479	1208	1088
LINC01358	1	0	4	3	0	0	0
HOOK1	6864	6013	10532	7572	8575	5323	5382
LOC101926964	1	8	2	4	0	0	1
KANK4	34	84	33	100	61	136	99
INADL	4322	3346	4111	5735	4970	3347	3076
ATG4C	641	858	522	808	702	509	540
DOCK7	2809	2872	3357	3813	3623	2275	2408
LINC00466	0	0	0	0	2	0	0
ROR1	1557	1928	2430	2069	2380	1631	1466
PGM1	3848	4751	4164	6195	4949	3278	3184
DNAJC6	4082	2955	4738	3340	4982	3013	2204
RAVER2	2653	2839	3164	2638	3130	2239	1915
AK4	326	377	517	900	351	441	370
JAK1	11307	12265	11673	18688	11651	11271	9808
PDE4B	848	1188	583	1676	599	874	817
WDR78	241	287	407	327	428	278	310
IL23R	39	8	17	44	48	16	45
SLC35D1	1153	1173	1232	1892	1701	1043	1415
TCTEX1D1	2	12	6	12	9	3	10
SERBP1	6433	7895	9871	10043	9829	6831	6306
DEPDC1	26	47	16	38	55	24	76
WLS	10462	10500	9634	11179	9995	8565	6677
GNG12-AS1	15	20	15	36	16	21	12
GNG12	6987	8103	6773	13678	8056	7542	8070
PIN1P1	2	2	5	3	6	2	2
ANKRD13C	1934	1835	2425	2323	2303	1752	1620
LRRC40	944	1025	1227	1178	1242	907	674
PTGER3	1280	754	1050	477	2634	669	1751
ZRANB2-AS2	37	54	43	27	48	58	17
LINC01360	0	0	0	0	0	0	0
TNNI3K	0	0	0	0	0	0	0
FPGT-TNNI3K	0	0	0	0	0	0	0
LRRIQ3	67	90	48	69	76	30	67
ERICH3	285	232	456	157	275	180	385
MSH4	0	4	0	0	0	2	2
SLC44A5	287	469	490	222	564	375	464
ST6GALNAC5	763	1027	1270	1176	1031	1059	619
NEXN	122	397	70	436	63	158	166
AK5	152	304	277	168	272	191	115
ZZZ3	4840	4221	6402	4168	5311	3498	2737
GIPC2	267	702	158	506	150	287	423
FAM73A	2698	3734	4870	3172	4810	2402	2695
MGC27382	0	0	0	0	0	0	0
ELTD1	110	2	517	151	165	190	54
LPHN2	1948	1377	2291	2068	1101	1710	1371
SAMD13	98	128	82	117	92	104	86
PRKACB	10248	9998	9398	8826	10672	7706	5895
MIR548AP	0	0	0	0	0	0	0
TTLL7	1343	1034	1192	1029	1249	933	833
LOC101927560	20	52	40	25	44	15	24
LOC101927587	22	26	16	15	27	10	8
C1orf52	690	746	880	835	875	620	645
WDR63	3	22	28	23	57	17	51
LPAR3	5	115	21	42	4	14	0
MCOLN2	2	0	19	18	21	14	8
CLCA2	0	2	0	2	0	4	0
COL24A1	6	7	11	2	5	13	0
HS2ST1	4363	4254	5384	5100	6058	3173	3850
LOC101927844	0	0	0	0	0	0	0
LRRC8B	1951	2216	2474	2725	2451	1831	1830
PKN2	3294	3640	4356	4333	3536	3103	2774
GBP4	61	49	144	84	84	80	60
