NAME	delta	alpha	gamma	ductal	acinar	beta	PSC	endothelial	mast
A2M	1	1	1	1	1	1	582.266620698195	1	227.358176007564
AAK1	32.3786523419705	1	10.2617726557488	1	46.9937981067883	276.323938093455	1	1	295.584215623312
AAMDC	1	28.3488473290901	1	1	1	1	1	155.613970637846	1
AAMP	42.114050469733	1	470.75542773007	123.660982085853	31.5878099835789	1	1	1	1
AARS	1.29412880243573	1	25.0634392489032	1	70.3122871728079	1055.40542492892	7.25728986582262	1	1
AARS2	1	23.7661056389817	1	225.375316512243	1	1	1	1	1
AASDHPPT	45.6995536313217	256.322945462552	1	1	12.7080728031323	13.3793061056723	1	1	1
AASS	1	1	1	235.645963858367	1	36.5128426851965	1	1	1
AATF	45.1757640949041	1	74.6227225214853	1	1	1	1	1	1
ABCA3	355.663110069668	1	1	1	1	24.1926269717024	1	1	1
ABCB1	1.6696433958302	1	253.204422423312	1	1	24.8675979694282	391.477378079481	1	1
ABCB7	62.7890337819973	62.2025498931751	1	1	1	204.76435398502	26.679335192282	1	1
ABCB8	1	374.765166174251	29.6474947644227	1	1	1	1	1	1
ABCC5	1.29412880243573	1	1	116.268799900911	1	1	1	1	1
ABCC8	1664.19374146051	62.7890337819973	1	41.3626172641749	1	334.10893356178	1	1	1
ABCD3	1	668.176196617768	1	1	227.358176007564	32.6632530436496	14.2653590261737	1	1
ABCF1	2.80662038277471	3.98971630068269	37.4518299889154	500.281526644907	370.917874359465	1	1	1	356.75375663622
ABCF3	88.5748780930668	1	1	1	79.798346560733	1	1	533.524043604104	1
ABHD12	67.3994678589121	366.683659448677	1	27.7565024923592	72.6489541865783	1	1	1	1
ABHD13	202.847148096728	25.9512061698503	15.1086827334324	1	1	44.8206494897175	1	1	1
ABHD14B	244.190490102949	1	1	1	35.7510471799463	1	14.8873966220666	1	1
ABHD3	1	1	554.229613681294	1	1	795.181035505348	1	1	1
ABHD5	30.1875515225993	1	1	1	1	1	1	528.7885634478	1
ABI1	1	1	1	27.7565024923592	115.285008025524	1	1	1	1
ABLIM1	7.44705554438836	712.87322641761	1	1	9.78485483679192	1	169.592872067769	1	1
ABT1	338.661961595606	1	1	1	1	174.387785237518	1	1	1
ACAA1	31.0810053147721	1	45.1369146053964	1	22.9654157332304	29.5968553554094	367.840164455907	1	1
ACAA2	249.955666664698	1	6.0719303069563	496.05237025395	3.93714286986203	31.1149593230294	1	1	1
ACAD10	1	1	14.0950267062446	1	82.7216527704153	1	1	1	1
ACAD9	1	1	30.4537143394185	1	70.1531517723884	1	1	1	1
ACADS	2.04002551295843	1	1	70.5104354015836	2.10449169536043	1	1	318.807305413749	1
ACADVL	398.819784897267	639.433229963754	1	27.7565024923592	760.004332669403	1	855.756099291607	1	1
ACAT1	5.69004314536108	1	79.8577275241666	1	13.6722168627836	145.570876656553	1	1	1
ACBD3	2.14501511403773	1	1	1	47.6227440296484	1	1	1	1
ACBD5	10.6668303017879	245.027383598912	1	1	184.247611531205	1	1	350.369698143243	1
ACHE	1	30.8522636982101	72.6489541865783	1	1	1	1	1	1
ACIN1	1.29412880243573	1	1	302.074845163161	1	1	1	1	1
ACLY	31.5878099835789	233.75659656628	959.005896209983	1	31.5878099835789	23.5606998617196	31.5878099835789	1124.65345134201	1
ACO2	24.8675979694282	1	1	1	1	1	1	78.7353593005756	1
ACOT13	270.416759146182	23.7661056389817	37.069290925921	27.7565024923592	28.25221961992	35.5489849572955	1	767.684411975746	1
