"cell_ID","cell_type","cell_subtype","tumor_state"
"delta","delta","delta",1
"alpha","alpha","alpha",1
"delta.1","delta","delta-1",1
"gamma","gamma","gamma",1
"ductal","ductal","ductal",1
"alpha.1","alpha","alpha-1",1
"acinar","acinar","acinar",1
"beta","beta","beta",1
"delta.2","delta","delta-2",1
"delta.3","delta","delta-3",1
"alpha.2","alpha","alpha-2",1
"alpha.3","alpha","alpha-3",1
"alpha.4","alpha","alpha-4",1
"alpha.5","alpha","alpha-5",1
"acinar.1","acinar","acinar-1",1
"alpha.6","alpha","alpha-6",1
"alpha.7","alpha","alpha-7",1
"beta.1","beta","beta-1",1
"delta.4","delta","delta-4",1
"alpha.8","alpha","alpha-8",1
"ductal.1","ductal","ductal-1",1
"beta.2","beta","beta-2",1
"alpha.9","alpha","alpha-9",1
"alpha.10","alpha","alpha-10",1
"ductal.2","ductal","ductal-2",1
"gamma.1","gamma","gamma-1",1
"beta.3","beta","beta-3",1
"alpha.11","alpha","alpha-11",1
"alpha.12","alpha","alpha-12",1
"delta.5","delta","delta-5",1
"beta.4","beta","beta-4",1
"alpha.13","alpha","alpha-13",1
"gamma.2","gamma","gamma-2",1
"alpha.14","alpha","alpha-14",1
"alpha.15","alpha","alpha-15",1
"alpha.16","alpha","alpha-16",1
"alpha.17","alpha","alpha-17",1
"alpha.18","alpha","alpha-18",1
"beta.5","beta","beta-5",1
"alpha.19","alpha","alpha-19",1
"alpha.20","alpha","alpha-20",1
"beta.6","beta","beta-6",1
"beta.7","beta","beta-7",1
"alpha.21","alpha","alpha-21",1
"PSC","PSC","PSC",1
"acinar.2","acinar","acinar-2",1
"alpha.22","alpha","alpha-22",1
"ductal.3","ductal","ductal-3",1
"alpha.23","alpha","alpha-23",1
"alpha.24","alpha","alpha-24",1
"beta.8","beta","beta-8",1
"alpha.25","alpha","alpha-25",1
"alpha.26","alpha","alpha-26",1
"gamma.3","gamma","gamma-3",1
"delta.6","delta","delta-6",1
"acinar.3","acinar","acinar-3",1
"beta.9","beta","beta-9",1
"gamma.4","gamma","gamma-4",1
"beta.10","beta","beta-10",1
"gamma.5","gamma","gamma-5",1
"endothelial","endothelial","endothelial",1
"gamma.6","gamma","gamma-6",1
"beta.11","beta","beta-11",1
"alpha.27","alpha","alpha-27",1
"beta.12","beta","beta-12",1
"alpha.28","alpha","alpha-28",1
"acinar.4","acinar","acinar-4",1
"alpha.29","alpha","alpha-29",1
"alpha.30","alpha","alpha-30",1
"delta.7","delta","delta-7",1
"delta.8","delta","delta-8",1
"acinar.5","acinar","acinar-5",1
"delta.9","delta","delta-9",1
"alpha.31","alpha","alpha-31",1
"beta.13","beta","beta-13",1
"beta.14","beta","beta-14",1
"beta.15","beta","beta-15",1
"alpha.32","alpha","alpha-32",1
"gamma.7","gamma","gamma-7",1
"beta.16","beta","beta-16",1
"gamma.8","gamma","gamma-8",1
"alpha.33","alpha","alpha-33",1
"acinar.6","acinar","acinar-6",1
"gamma.9","gamma","gamma-9",1
"alpha.34","alpha","alpha-34",1
"beta.17","beta","beta-17",1
"beta.18","beta","beta-18",1
"beta.19","beta","beta-19",1
"alpha.35","alpha","alpha-35",1
"beta.20","beta","beta-20",1
"delta.10","delta","delta-10",1
"acinar.7","acinar","acinar-7",1
"beta.21","beta","beta-21",1
"ductal.4","ductal","ductal-4",1
"alpha.36","alpha","alpha-36",1
"alpha.37","alpha","alpha-37",1
"beta.22","beta","beta-22",1
"delta.11","delta","delta-11",1
"beta.23","beta","beta-23",1
"alpha.38","alpha","alpha-38",1
"delta.12","delta","delta-12",1
"beta.24","beta","beta-24",1
"beta.25","beta","beta-25",1
"delta.13","delta","delta-13",1
"acinar.8","acinar","acinar-8",1
"delta.14","delta","delta-14",1
"beta.26","beta","beta-26",1
"alpha.39","alpha","alpha-39",1
"delta.15","delta","delta-15",1
"ductal.5","ductal","ductal-5",1
"acinar.9","acinar","acinar-9",1
"alpha.40","alpha","alpha-40",1
"beta.27","beta","beta-27",1
"alpha.41","alpha","alpha-41",1
"beta.28","beta","beta-28",1
"ductal.6","ductal","ductal-6",1
"alpha.42","alpha","alpha-42",1
"beta.29","beta","beta-29",1
"beta.30","beta","beta-30",1
"alpha.43","alpha","alpha-43",1
"beta.31","beta","beta-31",1
"alpha.44","alpha","alpha-44",1
"epsilon","epsilon","epsilon",1
"alpha.45","alpha","alpha-45",1
"alpha.46","alpha","alpha-46",1
"beta.32","beta","beta-32",1
"acinar.10","acinar","acinar-10",1
"acinar.11","acinar","acinar-11",1
"alpha.47","alpha","alpha-47",1
"acinar.12","acinar","acinar-12",1
"acinar.13","acinar","acinar-13",1
"delta.16","delta","delta-16",1
"gamma.10","gamma","gamma-10",1
"alpha.48","alpha","alpha-48",1
"gamma.11","gamma","gamma-11",1
"delta.17","delta","delta-17",1
"alpha.49","alpha","alpha-49",1
"delta.18","delta","delta-18",1
"alpha.50","alpha","alpha-50",1
"acinar.14","acinar","acinar-14",1
"gamma.12","gamma","gamma-12",1
"beta.33","beta","beta-33",1
"gamma.13","gamma","gamma-13",1
"gamma.14","gamma","gamma-14",1
"alpha.51","alpha","alpha-51",1
"alpha.52","alpha","alpha-52",1
"beta.34","beta","beta-34",1
"beta.35","beta","beta-35",1
"alpha.53","alpha","alpha-53",1
"beta.36","beta","beta-36",1
"alpha.54","alpha","alpha-54",1
"beta.37","beta","beta-37",1
"alpha.55","alpha","alpha-55",1
"gamma.15","gamma","gamma-15",1
"gamma.16","gamma","gamma-16",1
"beta.38","beta","beta-38",1
"acinar.15","acinar","acinar-15",1
"delta.19","delta","delta-19",1
"beta.39","beta","beta-39",1
"ductal.7","ductal","ductal-7",1
"beta.40","beta","beta-40",1
"delta.20","delta","delta-20",1
"beta.41","beta","beta-41",1
"beta.42","beta","beta-42",1
"beta.43","beta","beta-43",1
"alpha.56","alpha","alpha-56",1
"alpha.57","alpha","alpha-57",1
"alpha.58","alpha","alpha-58",1
"beta.44","beta","beta-44",1
"beta.45","beta","beta-45",1
"gamma.17","gamma","gamma-17",1
"alpha.59","alpha","alpha-59",1
"alpha.60","alpha","alpha-60",1
"alpha.61","alpha","alpha-61",1
"PSC.1","PSC","PSC-1",1
"beta.46","beta","beta-46",1
"alpha.62","alpha","alpha-62",1
"alpha.63","alpha","alpha-63",1
"ductal.8","ductal","ductal-8",1
"beta.47","beta","beta-47",1
"ductal.9","ductal","ductal-9",1
"alpha.64","alpha","alpha-64",1
"alpha.65","alpha","alpha-65",1
"alpha.66","alpha","alpha-66",1
"alpha.67","alpha","alpha-67",1
"delta.21","delta","delta-21",1
"alpha.68","alpha","alpha-68",1
"alpha.69","alpha","alpha-69",1
"alpha.70","alpha","alpha-70",1
"endothelial.1","endothelial","endothelial-1",1
"acinar.16","acinar","acinar-16",1
"alpha.71","alpha","alpha-71",1
"alpha.72","alpha","alpha-72",1
"alpha.73","alpha","alpha-73",1
"ductal.10","ductal","ductal-10",1
"ductal.11","ductal","ductal-11",1
"alpha.74","alpha","alpha-74",1
"alpha.75","alpha","alpha-75",1
"beta.48","beta","beta-48",1
"alpha.76","alpha","alpha-76",1
"beta.49","beta","beta-49",1
"delta.22","delta","delta-22",1
"gamma.18","gamma","gamma-18",1
"delta.23","delta","delta-23",1
"alpha.77","alpha","alpha-77",1
"beta.50","beta","beta-50",1
"alpha.78","alpha","alpha-78",1
"beta.51","beta","beta-51",1
"alpha.79","alpha","alpha-79",1
"ductal.12","ductal","ductal-12",1
"mast","mast","mast",0
"ductal.13","ductal","ductal-13",1
"alpha.80","alpha","alpha-80",1
"ductal.14","ductal","ductal-14",1
"acinar.17","acinar","acinar-17",1
